run,strategy,fee_rate,fee_bps,n_steps,mean_return,volatility,sortino,max_drawdown,total_log_wealth,annualized_log_growth,cagr,avg_turnover_per_step
K10A,kelly_constrained,0.0,0.0,11429,5.5021882471075984e-05,0.0028349695528989264,0.039588842866938756,-0.12406005626987526,0.5842886262445451,0.4478404380000188,0.5649289725342053,0.027523966785047687
K10A,equal_weight_baseline,0.0,0.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10A,kelly_constrained,0.001,10.0,11429,2.7497915686028295e-05,0.0028349990512377514,0.01973849055751273,-0.13708747305522562,0.2697268578640311,0.20673788388213427,0.2296602157731933,0.027523966785047687
K10A,equal_weight_baseline,0.001,10.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10A,kelly_constrained,0.005,50.0,11429,-8.259795145416245e-05,0.002835481290102963,-0.058500314040100816,-0.6797145686384898,-0.9886186420101262,-0.7577477735592533,-0.5312790952821806,0.027523966785047687
K10A,equal_weight_baseline,0.005,50.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10A,kelly_constrained,0.02,200.0,11429,-0.0004954574532298778,0.0028424711254960407,-0.31798865715294033,-0.9969512020705161,-5.708819140754684,-4.37564578467154,-0.9874199843625684,0.027523966785047687
K10A,equal_weight_baseline,0.02,200.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10B,kelly_constrained,0.0,0.0,11429,6.56257577935434e-05,0.0030567639392432566,0.045578406112873476,-0.11985352565305651,0.6983402779025217,0.5352577508466262,0.7078883952066841,0.02324558593683586
K10B,equal_weight_baseline,0.0,0.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10B,kelly_constrained,0.001,10.0,11429,4.2380171856707546e-05,0.0030568279680314512,0.02937675502291273,-0.13836430071623063,0.43267627200442144,0.3316339262191558,0.3932427255147233,0.02324558593683586
K10B,equal_weight_baseline,0.001,10.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10B,kelly_constrained,0.005,50.0,11429,-5.060217189063591e-05,0.0030573423541859594,-0.03471116453872537,-0.5814269302821262,-0.6300505612460069,-0.4829156458583446,-0.3830181338457591,0.02324558593683586
K10B,equal_weight_baseline,0.005,50.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10B,kelly_constrained,0.02,200.0,11429,-0.00039928596094317376,0.0030629464013501406,-0.25457615047484805,-0.9913771525486449,-4.616286777585811,-3.5382511306021267,-0.9709358880027905,0.02324558593683586
K10B,equal_weight_baseline,0.02,200.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10C,kelly_constrained,0.0,0.0,11429,8.29934654485461e-05,0.003923360650523325,0.057887517698140656,-0.11741015918484266,0.8678270617839529,0.6651644991886803,0.9448104147603702,0.10712387153404813
K10C,equal_weight_baseline,0.0,0.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10C,kelly_constrained,0.001,10.0,11429,-2.4130406085502052e-05,0.003923497270816086,-0.016646044489367268,-0.5396249316053816,-0.3564789153280933,-0.27323084244239193,-0.23908288461196414,0.10712387153404813
K10C,equal_weight_baseline,0.001,10.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10C,kelly_constrained,0.005,50.0,11429,-0.0004526258922216946,0.003925429564183149,-0.2853156204562281,-0.9959176504180751,-5.255077055002875,-4.02786551770279,-0.9821876905348318,0.10712387153404813
K10C,equal_weight_baseline,0.005,50.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
K10C,kelly_constrained,0.02,200.0,11429,-0.002059483965232417,0.003952326746179717,-0.7557710128041923,-0.999999999945015,-23.644435555013004,-18.12278024865814,-0.9999999865297226,0.10712387153404813
K10C,equal_weight_baseline,0.02,200.0,11429,3.726392922600896e-05,0.0017929773587407832,0.05247717474606737,-0.04518546595973605,0.4080570137893855,0.3127639724205983,0.36719879631950136,0.0
