label,nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,nba-champion::82402823484466457361170410951601106261368113664328436062375970009969959380598,rhode-island-primary::76953082602184447446392227868698611312931515419726728725776351799308439033216,roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,new-mexico-primary::50252300898375978140712321807178556639478099096013757990329224333771594910605,ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,hockey::115394635451048754011327777276076337527696490170069916864086987480603951060926,la-liga::88657857917663921842097927058013051966750383205171131721194307619909198186324,stanley-cup::96156230578747105661476819749931380321917772151891667564189808442987244872145,awards::73768610008619570600930429495180540710817177537162503586781057110775077618432,middle-east::56988329823452841666931131821080687228531160724161634353621608700010586706540,nba::24315108267836543154857233535536136482524552716493402526894829400485516895736
nba-champion::106572879185916710503631021854572801471104977091252507745096331167318654083650,1.0,-0.0004727084113717802,-0.0006832410513657361,-0.00039308063524315585,-0.0003930806352431565,-0.0008345037359011923,-0.0008559707341680259,0.0008116951786308736,-0.0003692287956291193,-0.0005687560576240856,0.000899168094585529,0.0006216474667152246,-0.0006893870998501079,0.0008623526525574818,0.0003837089993855667,-0.0008899887461216313,0.00036968169793246964,-0.0003677145082944796,-0.00018229674442082463,0.00014411828392714042
colombia-election::75712298340810272859765060308006832993211601931382911468417184675550881103879,-0.00047270841137178013,0.9999999999999999,-0.0005935759432595862,-0.00034149471606709426,-0.0003414947160670945,-0.0007249876763128677,-0.0007436374540446027,0.000705172399012044,-0.0003207730715331823,-0.0004941153824320032,0.0007811658108447613,0.0005400655898717278,-0.0005989154153524037,0.0007491818416663357,0.0003333529664123868,-0.0007731911137563805,0.0341246430264669,-0.00031945751162760605,-0.00015837303950991724,0.00012520492753180913
serie-a::11843131838379676792721059608342146205696413823676149302931627463939711085828,-0.0006832410513657361,-0.000593575943259586,1.0,-0.0004935880200744362,-0.0004935880200744383,-0.0010478792639922279,-0.0010748351916606072,0.001019238752060489,0.3928542118200399,-0.0007141821581069755,0.0011290777507928747,0.0007805974519463292,-0.0008656575347940431,0.0010828489124591139,0.0004818201364061247,-0.0011175513207740888,0.0004642061729328543,-0.04078706237856228,-0.0002289084759645589,0.00018096810690284475
ligue-1::19730444129256957174015889379846911816814301308831812906398054285035177752584,-0.00039308063524315585,-0.00034149471606709426,-0.0004935880200744362,1.0,-0.0002839698991906851,-0.000602863434398194,-0.0006183716553259274,0.0005863860424128867,-0.00026673881761751306,-0.00041088160002513926,0.000649578356911405,0.00044909149072192966,-0.0004980280575935676,0.0006229820903339265,0.0002771996280271452,-0.000642946998293793,0.00026706600397546004,-0.0002656448639011272,-0.00013169508618492674,0.00010411414577319453
colombia-election::36553834009124167357981460132800746681781045509640776189348736916365216865880,-0.00039308063524315655,-0.0003414947160670945,-0.0004935880200744383,-0.0002839698991906851,0.9999999999999999,-0.0006028634343982015,-0.0006183716553259297,0.0005863860424128869,-0.00026673881761751154,-0.0004108816000251404,0.0006495783569114068,0.00044909149072193313,-0.0004980280575935691,0.0006229820903339243,-0.02546978115420604,-0.0006429469982937897,0.00026706600397546,-0.0002656448639011263,-0.00013169508618492574,0.00010411414577319436
uefa-europa-league::81085168149210534701056807267483472863288984314426354863145129521956049193057,-0.0008345037359011922,-0.0007249876763128675,-0.0010478792639922279,-0.0006028634343981941,-0.0006028634343982016,0.9999999999999998,-0.0013127928732121106,0.001244887942066077,-0.0005662821310797694,-0.0008722948919168723,0.0013790441883961089,0.0009534138626214487,-0.001057305390758712,0.0013225807510502557,0.0005884902598571961,-0.0013649659229097598,0.0005669767423466672,-0.0005639596852979682,-0.0002795865060947896,0.00022103262236295004
airdrops::57301498276970257025109591078431189727442302532145853906375186182281603517458,-0.000855970734168026,-0.0007436374540446027,-0.0010748351916606072,-0.0006183716553259274,-0.0006183716553259297,-0.0013127928732121106,1.0,0.0012769117738897448,-0.0005808493247344408,-0.0008947340400325188,0.0014145190915374724,0.0009779397369297014,-0.0010845037986441232,0.0013566031735621133,0.0006036287413821154,-0.001400078672968058,0.0005815618043681675,-0.0005784671357335137,-0.0002867786644801359,0.09981217569326695
new-mexico-primary::31317702573839002987249831884538721320741670016050389364356636973937868446333,0.0008116951786308737,0.000705172399012044,0.001019238752060489,0.0005863860424128867,0.0005863860424128869,0.001244887942066077,0.0012769117738897448,1.0,0.0005508045749440267,0.0008484534312463507,-0.001341352315974051,-0.000927355267851456,0.0010284072450466657,-0.001286432130610161,-0.0005724057137760818,0.0013276588359725132,-0.0005514802011780598,0.0005485456059752692,0.0002719448808246705,-0.00021499138490781893
nba-champion::82402823484466457361170410951601106261368113664328436062375970009969959380598,-0.0003692287956291193,-0.0003207730715331823,0.39285421182003993,-0.00026673881761751306,-0.00026673881761751154,-0.0005662821310797694,-0.0005808493247344407,0.0005508045749440267,1.0,-0.000385949611151934,0.000610162426955409,0.00042184095419498164,-0.00046780808670728464,0.0005851800019866692,0.0002603793614559375,-0.0006039334542301627,0.00025086063814959013,-0.09192213726601457,-0.00012370392663137563,9.779657710182329e-05
rhode-island-primary::76953082602184447446392227868698611312931515419726728725776351799308439033216,-0.0005687560576240856,-0.0004941153824320032,-0.0007141821581069755,-0.0004108816000251392,-0.00041088160002514045,-0.0008722948919168723,-0.0008947340400325188,0.0008484534312463507,-0.000385949611151934,1.0,0.0009398876267876557,0.0006497992596799721,-0.0007206065352160649,0.0009014049686003166,0.0004010855622894353,-0.0009302925843310074,0.00038642302349119884,-0.000384366748127986,-0.0001905521954310217,0.00015064479341810058
roland-garros::103950812176015306889097643332505690876545410954871160290129574415932884036868,0.000899168094585529,0.0007811658108447613,0.0011290777507928747,0.000649578356911405,0.0006495783569114068,0.0013790441883961089,0.0014145190915374724,-0.0013413523159740508,0.0006101624269554091,0.0009398876267876558,1.0,-0.001027292376682996,0.0011392342930338845,-0.0014250654163616469,-0.0006340914280827181,0.0014707349473415585,-0.0006109108625375115,0.0006076600185675829,0.0003012512169110746,0.03572180011339549
la-liga::2317130722330994677503722994963086323403276367952762140016618274858179343506,0.0006216474667152246,0.0005400655898717278,0.0007805974519463293,0.00044909149072192966,0.0004490914907219331,0.0009534138626214488,0.0009779397369297014,-0.000927355267851456,0.00042184095419498164,0.0006497992596799721,-0.001027292376682996,0.9999999999999998,0.0007876192633214869,-0.0009852310277901944,-0.0004383844714987834,0.0010168050442735572,-0.0004223583914643985,0.0004201108929924625,0.00020827257657976339,-0.00016465398996083633
new-mexico-primary::50252300898375978140712321807178556639478099096013757990329224333771594910605,-0.0006893870998501079,-0.0005989154153524037,-0.0008656575347940431,-0.0004980280575935677,-0.0004980280575935691,-0.001057305390758712,-0.0010845037986441232,0.0010284072450466657,-0.00046780808670728464,-0.0007206065352160648,0.0011392342930338845,0.0007876192633214868,0.9999999999999999,0.001092589606323905,0.0004861543167267925,-0.0011276041777965587,0.0004683819080411006,-0.0004658895043292868,-0.00023096760661684874,0.0001825959932204739
ligue-1::49662274238485451283220527378586398370959042852997899886824914466317758572224,0.0008623526525574818,0.0007491818416663357,0.0010828489124591137,0.0006229820903339265,0.0006229820903339243,0.0013225807510502557,0.0013566031735621133,-0.001286432130610161,0.0005851800019866691,0.0009014049686003166,-0.001425065416361647,-0.0009852310277901947,0.001092589606323905,1.0,-0.0006081292566582281,0.0014105173333953738,-0.0005858977937025426,0.0005827800519394885,0.0002889168193953641,-0.0002284088854204966
hockey::115394635451048754011327777276076337527696490170069916864086987480603951060926,0.0003837089993855668,0.0003333529664123867,0.00048182013640612467,0.0002771996280271452,-0.025469781154206044,0.0005884902598571961,0.0006036287413821154,-0.0005724057137760819,0.0002603793614559375,0.0004010855622894353,-0.0006340914280827181,-0.0004383844714987834,0.0004861543167267925,-0.0006081292566582282,0.9999999999999999,-0.006433915540592553,-0.00026069874719708547,0.00025931148924790496,-0.0060808706534642475,-0.00010163190733576635
la-liga::88657857917663921842097927058013051966750383205171131721194307619909198186324,-0.0008899887461216313,-0.0007731911137563805,-0.0011175513207740885,-0.0006429469982937929,-0.0006429469982937898,-0.0013649659229097598,-0.0014000786729680581,0.0013276588359725132,-0.0006039334542301627,-0.0009302925843310074,0.0014707349473415583,0.0010168050442735572,-0.0011276041777965587,0.0014105173333953738,-0.006433915540592552,0.9999999999999999,0.0006046742492486311,-0.0006014565922098082,0.16854553468318015,0.00023572877863314086
stanley-cup::96156230578747105661476819749931380321917772151891667564189808442987244872145,0.00036968169793246964,0.0341246430264669,0.0004642061729328543,0.00026706600397546004,0.00026706600397545993,0.0005669767423466673,0.0005815618043681675,-0.0005514802011780598,0.0002508606381495901,0.0003864230234911989,-0.0006109108625375115,-0.0004223583914643985,0.00046838190804110056,-0.0005858977937025428,-0.0002606987471970854,0.0006046742492486311,1.0,0.0002498318042893707,0.00012385566396596717,-9.791653604206001e-05
awards::73768610008619570600930429495180540710817177537162503586781057110775077618432,-0.00036771450829447964,-0.00031945751162760605,-0.04078706237856227,-0.0002656448639011273,-0.00026564486390112636,-0.0005639596852979682,-0.0005784671357335136,0.0005485456059752691,-0.09192213726601457,-0.0003843667481279861,0.0006076600185675829,0.0004201108929924625,-0.0004658895043292868,0.0005827800519394885,0.00025931148924790496,-0.0006014565922098082,0.00024983180428937073,1.0,-0.0001231965900109424,9.739549213816721e-05
middle-east::56988329823452841666931131821080687228531160724161634353621608700010586706540,-0.00018229674442082463,-0.00015837303950991724,-0.0002289084759645589,-0.00013169508618492674,-0.00013169508618492574,-0.0002795865060947896,-0.0002867786644801359,0.0002719448808246705,-0.00012370392663137563,-0.00019055219543102174,0.0003012512169110746,0.00020827257657976339,-0.00023096760661684874,0.0002889168193953641,-0.006080870653464247,0.16854553468318015,0.00012385566396596717,-0.0001231965900109424,1.0,4.828441831246012e-05
nba::24315108267836543154857233535536136482524552716493402526894829400485516895736,0.00014411828392714042,0.00012520492753180913,0.00018096810690284475,0.00010411414577319453,0.00010411414577319436,0.00022103262236295004,0.09981217569326695,-0.00021499138490781893,9.779657710182329e-05,0.0001506447934181006,0.03572180011339549,-0.00016465398996083633,0.0001825959932204739,-0.0002284088854204966,-0.00010163190733576635,0.00023572877863314086,-9.791653604206001e-05,9.739549213816721e-05,4.828441831246012e-05,1.0
