category,baseline_exposure,constrained_exposure,delta_exposure
bundesliga,0.025,0.026432668790221214,0.001432668790221213
2026-fifa-world-cup,0.025,0.026326987892389297,0.001326987892389296
anthropic,0.025,0.02620660699903965,0.0012066069990396486
colombia-election,0.025,0.026194775477051735,0.0011947754770517335
2026-nfl-draft,0.025,0.02612459659576416,0.0011245965957641588
awards,0.025,0.02612459659576416,0.0011245965957641588
base,0.025,0.026081230491399765,0.0010812304913997636
extended,0.025,0.025778109207749367,0.0007781092077493654
climate-science,0.025,0.025724753737449646,0.0007247537374496446
connecticut-primary,0.025,0.0256142970174551,0.0006142970174550996
commodities,0.025,0.0256029162555933,0.0006029162555932985
delaware-midterm,0.025,0.02560163475573063,0.0006016347557306276
foreign-policy,0.025,0.025570696219801903,0.0005706962198019014
abraham-accords,0.025,0.0255049467086792,0.0005049467086791978
california-midterm,0.025,0.025467151775956154,0.0004671517759561525
comex-gold-futures,0.025,0.025354351848363876,0.00035435184836387495
fdv,0.025,0.025308627635240555,0.0003086276352405534
acquisitions,0.025,0.025202101096510887,0.00020210109651088576
airdrops,0.025,0.0251888670027256,0.0001888670027255998
democratic-primary,0.025,0.025105709210038185,0.00010570921003818373
crypto-prices,0.025,0.02483416721224785,-0.00016583278775215288
bitcoin,0.025,0.024761859327554703,-0.00023814067244529863
elon-musk,0.025,0.02473483420908451,-0.0002651657909154906
congress,0.025,0.02459869720041752,-0.00040130279958248277
champions-league,0.025,0.024570489302277565,-0.0004295106977224364
big-tech,0.025,0.02453339658677578,-0.00046660341322422166
epstein,0.025,0.024522101506590843,-0.0004778984934091582
bernie-sanders,0.025,0.02442915178835392,-0.0005708482116460814
business,0.025,0.02438303269445896,-0.0006169673055410399
2025-predictions,0.025,0.024342060089111328,-0.0006579399108886733
celebrities,0.025,0.024274330586194992,-0.0007256694138050093
comex-silver-futures,0.025,0.024257291108369827,-0.0007427088916301741
colorado-midterm,0.025,0.02407084032893181,-0.0009291596710681929
basketball,0.025,0.02404150925576687,-0.0009584907442331328
felix,0.025,0.02398310787975788,-0.0010168921202421202
best-of-2025,0.025,0.023943612352013588,-0.0010563876479864134
claude-5,0.025,0.023925570771098137,-0.0010744292289018645
fifa-world-cup,0.025,0.023803606629371643,-0.0011963933706283583
economic-policy,0.025,0.02379164844751358,-0.001208351552486421
brazil,0.025,0.02368309535086155,-0.001316904649138452
